Email_ID,Sender,Subject,Body,Received_Date,Label,Prediction,Confidence_Score,Flagged_Keywords
42,student.council@college.edu,College Fest 2025 Registration,Register now for MusicFest & TechRun. Entry is free for all students.,04-12-2023,legit,legit,0.95,"login, protect, new device"
43,help@taxrefundgov.net,Tax Refund Available,You are eligible for a tax refund. Submit your ID and bank details.,17-11-2023,phishing,phishing,0.91,"student, ID, renewal"
44,orders@flipkart.com,Order Confirmation #749281,Your Flipkart order has been confirmed and will be delivered in 2 days.,17-11-2023,legit,legit,0.96,"KYC, verify, ICICI"
45,giveaway@prizebox.vip,Lucky Day! Free Trip to Maldives,Win an all-expense paid trip by entering your email now.,01-08-2023,spam,spam,0.89,"flash, deal, today"
46,access@secure-mail.co,You Have 1 Unread Secure Message,Click here to view your encrypted message.,01-08-2023,phishing,phishing,0.9,"access, issue, fix"
47,workshop@techtrainers.org,Python ML Workshop – Join Now,Join our free workshop on Python and machine learning this weekend.,31-07-2023,legit,legit,0.94,"resume, profile, shortlisted"
48,win@goldgiveaway.com,Golden Opportunity Inside!,Claim your 24K gold bar! Limited entries remain.,31-07-2023,spam,spam,0.88,"webinar, invite, register"
49,info@coursera.org,Course Update: AI for Beginners,Your AI course is updated with new modules. Login to continue.,30-07-2023,legit,legit,0.96,"urgent, claim, winner"
50,alerts@unknown-device.com,New Device Login Attempt,We detected login from a new device. Review now to protect your account.,29-07-2023,phishing,phishing,0.91,"new device, protect, login"
51,manager@company.org,Urgent: File Needed for Audit,Please send the audit file by EOD. It’s required for the finance team.,29-07-2023,legit,legit,0.93,—
52,bonus@earnfast.in,Daily Income Opportunity,"Earn ₹5,000/day from home using your phone. No experience needed.",28-07-2023,spam,spam,0.89,"earn, income, opportunity"
53,feedback@hostel.gov.edu,Hostel Feedback Survey,Rate your hostel facilities to help us improve student life.,28-07-2023,legit,legit,0.95,—
54,notice@filedropzone.info,You Received a File,Someone sent you a confidential file. Download it immediately.,27-07-2023,phishing,phishing,0.9,"confidential, download"
55,deals@storezone.biz,Flat 80% Off on Shoes Today Only!,Don’t miss this one-day sale. Use code SHOE80 at checkout.,27-07-2023,spam,spam,0.86,"sale, off, code"
56,deanoffice@university.edu,Seminar Invite: AI & Ethics,Join us for a panel discussion on ethics in AI this Friday.,26-07-2023,legit,legit,0.96,—
57,account@secure-link.info,Login Verification Pending,Your login is incomplete. Finish verification to avoid lockout.,26-07-2023,phishing,phishing,0.91,"verification, lockout"
58,hrteam@internhub.org,Internship Feedback Required,Please fill out your final feedback form to complete your internship process.,25-07-2023,legit,legit,0.94,—
59,winners@jackpot.co.uk,"Jackpot Alert: You Won £5,000",Congratulations! Your entry has been selected. Claim today.,25-07-2023,spam,spam,0.87,"won, selected, claim"
60,payroll@company-payroll.com,Payslip Available for July,Your July payslip is ready for download via the company portal.,12-07-2023,legit,legit,0.96,—
61,banking@verify-hdfc.com,Confirm Your HDFC Details,Please verify your personal details to continue using online banking.,08-07-2023,phishing,phishing,0.91,"verify, personal, banking"
62,admin@eventhub.io,Webinar Reminder – Cloud Computing,Reminder: Join our Cloud webinar today at 5 PM via Zoom.,06-07-2023,legit,legit,0.95,—
63,rewards@holiday-lotto.net,Spin & Win a Caribbean Vacation!,Spin the wheel now and stand a chance to win a dream holiday!,06-07-2023,spam,spam,0.88,"win, holiday, spin"
64,update@dropbox-alerts.com,Important: Dropbox Account Alert,A login attempt was made from an unknown location. Check activity now.,06-07-2023,phishing,phishing,0.9,"alert, unknown, login"
65,faculty@csdept.univ.edu,Project Submission Portal Open,You may now upload your final project via the department portal.,05-07-2023,legit,legit,0.96,"secure, verify, now"
66,deals@bestphoneshop.com,"One Day Deal: iPhone 13 at ₹19,999!",Grab your brand-new iPhone at an unbeatable price. Hurry!,05-07-2023,spam,spam,0.89,"contest, winner, reward"
67,hr@techgig.com,Interview Schedule Confirmation,Your interview for the Software Engineer position is scheduled on August 5th.,04-07-2023,legit,legit,0.94,"refund, claim, transaction"
68,notice@delivery-info.com,Your Package Is On Hold,We couldn't deliver your parcel. Update your address to receive it.,04-07-2023,phishing,phishing,0.92,"account, locked, recovery"
69,admin@hackersecurity.io,Password Breach Detected,Your password was exposed in a data leak. Change it now.,03-07-2023,phishing,phishing,0.91,"register, free, offer"
70,official@weather-alert.gov,Weather Alert for Your Area,Heavy rains expected in your region over next 48 hours. Stay safe.,03-07-2023,legit,legit,0.95,"verify, login, attempt"
71,promo@fashionhub.shop,Your ₹500 Coupon Is Waiting,Use this coupon today only on all clothing brands.,02-07-2023,spam,spam,0.86,"password, reset, required"
72,student.services@edu.org,Library Book Overdue Notice,Please return your borrowed books by tomorrow to avoid fines.,01-07-2023,legit,legit,0.95,"earn, bonus, signup"
73,banknotice@icicibank.cc,ICICI Login Alert,Suspicious login attempt detected. Reset your password now.,30-06-2023,phishing,phishing,0.91,"user, confirm, verification"
74,internships@jobsboard.io,New Internship Matches Found,We found 5 internship opportunities that match your skills. Apply now!,26-06-2023,legit,legit,0.94,"order, shipped, invoice"
75,account@secure-dropbox.co,Dropbox Security Verification Needed,Complete security check to continue using your storage account.,20-06-2023,phishing,phishing,0.9,"breach, secure, reset"
76,alerts@twitter-help.info,Reset Your Twitter Account Now,Your account is suspended. Log in and complete recovery steps.,18-06-2023,phishing,phishing,0.9,"limited, coupon, redeem"
77,alumni@college.edu,Annual Alumni Meet Invitation,Join us for the alumni reunion and networking dinner on campus this month.,14-06-2023,legit,legit,0.95,"account, confirmation, required"
78,support@ebay-secure.shop,Dispute Opened on Your eBay Account,Someone opened a claim against your item. Resolve it now to avoid penalties.,11-06-2023,phishing,phishing,0.91,"win, gold, offer"
79,info@coursemaster.org,Course Completion Certificate Inside,Download your certificate of completion for “Data Science Bootcamp.”,07-06-2023,legit,legit,0.96,"check, update, details"
80,cashbonus@quickbucks.biz,"Instant ₹1,000 Bonus Credit","Complete signup and get ₹1,000 instantly in your account.",03-06-2023,spam,spam,0.88,"banking, login, blocked"
81,login@metaalert.com,Facebook Login From New Device,New device login detected. Reset password immediately.,03-06-2023,phishing,phishing,0.92,"document, view, access"
82,offers@laptopsale.org,Mega Laptop Clearance – 70% OFF,Limited stock! Buy HP/Dell laptops at the lowest prices ever.,02-06-2023,spam,spam,0.87,"sale, discount, lowest"
83,registrar@university.edu,Final Exam Results Available,Your results are now available on the student portal.,01-06-2023,legit,legit,0.96,"student, results"
84,support@zoom-secure.com,Meeting Suspended – Action Required,Your Zoom account has been suspended. Click to review.,16-07-2022,phishing,phishing,0.91,"zoom, suspended, review"
85,deals@homedecor.store,"Get ₹2,000 Cashback on Home Decor",Shop home essentials and earn cashback.,16-07-2022,spam,spam,0.88,"cashback, shop, essentials"
86,seminar@iit-delhi.ac.in,National Robotics Seminar Invitation,You are invited to attend the National Seminar on Robotics hosted at IIT Delhi.,15-07-2022,legit,legit,0.95,"seminar, robotics"
87,support@icici-info.org,Urgent: ICICI KYC Document Needed,Your account is at risk. Upload your KYC documents now.,15-07-2022,phishing,phishing,0.93,"KYC, ICICI, urgent"
88,hrteam@careerjobs.com,Interview Call Letter – Software Dev,Congratulations! You’ve been shortlisted. Please attend interview at 10 AM.,15-07-2022,legit,legit,0.94,"shortlisted, interview"
89,admin@filesecure.store,Private Document Shared with You,Click to view your private files.,11-07-2022,phishing,phishing,0.89,"private, click, files"
90,news@eduinsight.org,Research Trends in AI – July Edition,Explore the latest developments in AI and data science.,07-07-2022,legit,legit,0.95,"AI, research"
91,promo@healthboost.life,Burn Belly Fat Fast – 100% Natural,Try our doctor-approved formula to burn fat in 7 days.,03-07-2022,spam,spam,0.86,"fat, burn, formula"
92,studenthelp@uni.ac.in,Laptop Scheme for Students,Apply now to get subsidized laptops through govt scheme.,29-06-2022,legit,legit,0.95,"student, scheme, apply"
93,noreply@gift-cards-now.com,Claim Your Free Amazon Gift Card,Answer a quick survey to get ₹500 Amazon gift card.,25-06-2022,phishing,phishing,0.89,"amazon, gift, free"
94,social@linkedinpro.biz,You Have 9 New Connection Requests,See who’s trying to connect with you. View now.,21-06-2022,phishing,phishing,0.88,"connection, view, linkedin"
95,club@writersguild.org,Join Our Creative Writing Community,"Meet writers, share ideas & improve your craft.",16-06-2022,legit,legit,0.94,"writers, join"
96,alert@paypal-secure.co,PayPal Alert: Payment Not Processed,A recent transaction failed. Click here to fix it now.,12-06-2022,phishing,phishing,0.9,"paypal, transaction, fix"
97,updates@googleworkspace.io,Google Workspace Changes Effective,Upcoming pricing changes on Workspace plans.,08-06-2022,legit,legit,0.96,"google, changes"
98,lucky@lotto-tracker.net,Your Lucky Numbers Matched!,"Congratulations, you’re today’s winner. Click to claim ₹1 lakh prize.",03-05-2022,spam,spam,0.88,"winner, claim, prize"
99,helpline@examboard.org,Admit Card for NEET 2025 Released,Download your NEET 2025 admit card today.,02-05-2022,legit,legit,0.95,"NEET, admit card"
100,finance@company-finance.net,Invoice Generated for April,Your April invoice is ready. Download via your company dashboard.,01-05-2022,legit,legit,0.96,"invoice, download"
